time,seed_1500_A_01,seed_1500_A_02,seed_1500_A_03,seed_1500_A_04,seed_1500_A_05,seed_1500_A_06,seed_1500_B_01,seed_1500_B_02,seed_1500_B_03,seed_1500_B_04,seed_1500_B_05,seed_1500_B_06,seed_1500_C_01,seed_1500_C_02,seed_1500_C_03,seed_1500_C_04,seed_1500_C_05,seed_1500_C_06,seed_3000_A_01,seed_3000_A_02,seed_3000_A_03,seed_3000_A_04,seed_3000_A_05,seed_3000_A_06,seed_3000_B_01,seed_3000_B_02,seed_3000_B_03,seed_3000_B_04,seed_3000_B_05,seed_3000_B_06,seed_3000_C_01,seed_3000_C_02,seed_3000_C_03,seed_3000_C_04,seed_3000_C_05,seed_3000_C_06,seed_4500_A_01,seed_4500_A_02,seed_4500_A_03,seed_4500_A_04,seed_4500_A_05,seed_4500_A_06,seed_4500_B_01,seed_4500_B_02,seed_4500_B_03,seed_4500_B_04,seed_4500_B_05,seed_4500_B_06,seed_4500_C_01,seed_4500_C_02,seed_4500_C_03,seed_4500_C_04,seed_4500_C_05,seed_4500_C_06
0,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,1500,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,3000,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500,4500
24,4641,4140,4190,3860,4515,4463,3977,3755,3909,3943,3920,3715,3724,4046,3905,3742,3925,3575,7010,7109,6694,6599,6619,8303,6296,7672,6703,6643,6527,6712,6364,7142,7141,6140,6068,6446,10207,9863,9958,10198,9784,10113,9135,9423,9073,8625,9244,9729,9383,6975,5788,9008,8263,6626
30,3978,3645,3506,3292,3623,3715,3571,3431,3467,3548,3581,3284,3189,3124,3464,3206,3355,3268,6467,6374,6077,6069,5958,7245,5597,6711,6044,6278,5746,5936,5772,6629,6365,5820,5602,6051,9627,9346,9418,9533,9140,9400,8588,8815,8539,8335,8736,9042,8928,7695,6961,8662,8550,7102
36,3705,3607,3359,3253,3691,3523,3286,3019,3404,3329,3299,3083,3017,3024,3396,2901,3234,3163,6032,6328,5985,5604,5836,6732,4961,627,298,5977,5441,5721,5145,6046,5673,5211,5178,5362,8688,8798,8494,8930,8793,8736,7718,8006,7775,7630,7852,8350,7754,7176,6581,7749,8038,6270
42,4051,4187,3940,3854,4175,4132,4156,3824,4384,3950,4014,3694,3533,4109,3588,3547,3885,3683,7356,7379,7075,6871,6872,7824,6736,7217,6629,7131,6497,6785,6186,7117,6931,6474,6108,6567,10458,10343,10297,10496,10329,10284,9140,9522,9430,9034,9492,9799,9291,8586,7866,9201,9758,7623
48,4240,4589,4251,4132,4503,4478,4269,3992,4589,4240,4421,3827,3777,4023,3873,3614,4305,3817,7876,8038,7354,7227,7560,8227,7251,8415,7053,7638,7528,7195,6650,7568,7012,6625,6593,6572,11110,11060,10606,11289,11226,10949,9756,10073,10075,9573,10223,10403,9807,8269,6996,9665,9928,7827
54,5155,5701,5183,5111,5469,5463,5131,4913,5666,4999,5347,4533,4488,4602,4580,4563,5173,4679,9329,9714,8974,8896,9243,9893,8813,10286,8749,9673,9374,8798,8092,9594,8577,8368,7936,8149,13617,13466,12992,13748,13711,13324,12026,12679,12310,11912,12765,12743,12012,11311,9898,11852,12695,10037
60,5957,6600,5903,5776,6354,6124,5957,5631,6415,5768,6193,5336,5192,5542,5405,5366,5979,5311,10733,11341,10399,10162,10732,11322,10104,11871,9990,11007,10693,10106,9390,11121,10145,9482,9387,9289,15597,15799,14919,15545,15832,15214,13954,14823,14272,13890,14922,14933,13799,13241,11743,13836,14913,11653
66,6625,7539,6587,6466,7308,6896,6700,6744,7106,6519,7107,5813,5979,6565,5714,5806,6695,6028,11886,13077,11713,11448,12359,12561,11394,13269,11151,12296,12151,11206,10253,12500,11166,10789,11017,10314,17437,18018,16584,17556,18020,16948,15716,16715,16194,15716,16885,16598,15440,15413,13475,14957,17092,13254
72,9495,10769,9378,9153,10140,9921,9259,9229,9065,8874,10009,8047,8273,9230,8189,8340,9346,8482,16462,18034,16320,15670,16903,17603,15640,19888,15606,16707,17425,15644,14543,17533,15462,15216,14831,14649,23365,23724,22349,23457,23846,22792,20927,22483,21254,21254,22375,22357,21216,20634,18006,20607,23005,18292
78,9364,10655,9033,8780,10047,9236,9084,9200,8626,8465,9613,8032,8040,9011,8079,8214,9043,7954,16592,17937,16089,15823,16935,17093,16150,18748,15616,17357,17265,15553,14472,17551,15551,15266,15331,14817,23999,24621,22961,24356,24753,23450,21607,23483,22392,22167,23614,23205,21886,22388,19128,21454,24319,19375
84,9713,11580,9737,9329,10900,10160,9705,9888,9329,9127,10439,8273,8372,9794,8149,8328,9675,8189,17373,19141,17168,17026,18161,17592,16670,19172,16112,18054,17904,16186,14968,18336,15826,15671,15973,14893,24872,25664,23487,25394,26155,24359,22203,24563,23368,23099,24622,23897,22085,22919,19527,21697,25270,19573
90,10947,13153,10852,10800,12440,11164,10870,11212,10120,10319,11980,9345,9411,11304,9339,9765,11116,9389,19812,22118,19688,19277,21151,20058,19082,22266,18670,20926,20577,18501,17564,21456,18039,18211,18452,16974,28783,29494,27059,29423,30188,28229,25711,28606,27071,26590,28886,27784,25550,26599,22673,25246,29439,22585
96,12091,14922,11908,11768,14048,12390,11842,12552,11040,11277,13447,10224,10226,12624,10380,10252,12185,10222,22160,24691,21644,21432,23727,22111,21307,24711,20620,23372,23302,20474,19528,24010,19986,20223,20604,18407,32328,33851,29922,32792,34123,30849,28727,32259,30073,29677,32753,31010,28335,29815,24052,27598,31567,24249
102,13709,17207,13524,13551,16328,14473,13570,14479,12699,13128,15571,11562,11842,14784,11498,11944,14285,11690,25812,28703,24864,24902,27371,25661,24706,28961,23607,26723,27406,23748,22773,28008,22893,23060,24343,21114,36973,38777,34389,37793,39209,35657,33510,37409,34872,34332,38025,36151,32539,35073,29743,32364,38414,29547
108,15689,19821,15733,15442,18679,16445,15533,16660,14569,14876,17909,13157,13387,17069,13260,13461,16585,13518,29032,32863,28662,28436,31787,28844,28449,32875,27103,30819,31199,27007,25790,32182,26212,26319,27876,24146,42594,44584,39541,43010,45144,40815,37960,43459,40237,39354,43872,41070,37111,40521,33761,36521,44858,33897
114,17605,22659,17491,17240,21403,18161,17477,19190,16274,16360,20626,14665,14892,19523,14835,15376,19110,14932,33055,37517,32739,32298,36523,32513,32085,37644,30455,34937,35364,30401,29281,36771,29123,29697,31796,27123,47922,50668,44145,48414,51217,45988,43227,49308,45581,44938,50081,46759,42406,46493,38524,41180,51080,38659
120,22673,27956,21902,21846,27159,23000,22562,23839,20425,21024,25731,18681,19226,24253,19134,19774,23990,19030,40640,46066,40144,39826,44117,40229,40187,46430,38404,42941,43899,38389,36565,45702,36939,37200,40121,34531,59234,62123,54701,59905,63087,56800,54155,60971,56341,56041,61579,57585,52728,56695,47721,51567,61887,47566
126,22126,29648,22237,22090,27998,23067,22240,24616,20337,21241,26325,17697,18913,25099,18246,19227,24793,18185,42378,48352,41467,41669,46765,40877,41268,48282,39068,44950,45797,39115,37025,47702,36464,37431,41165,34071,60176,63985,54059,60565,63779,57198,55514,62597,57686,57051,63614,58792,53441,59686,49103,51299,64150,49529
132,25238,34165,25243,25017,32218,26189,25155,28518,23003,24158,30558,20053,20995,28925,20757,22074,28792,20888,48607,55484,46843,47644,53609,46357,47125,55569,44317,51054,52664,45026,42560,54548,42277,42968,47263,38461,66741,71447,60845,67401,71732,63864,62912,70580,65420,64940,71252,66324,60514,67429,56022,58760,72394,56266
138,28052,39307,28265,28050,36877,29306,28117,32423,25445,27207,35155,22129,23288,33042,23073,24357,32760,23334,55071,62324,53231,53793,60342,52067,53339,62378,49839,57258,59617,50782,48398,62214,47480,49347,54078,42917,73307,78349,67305,75162,78859,70765,71341,78249,72225,72733,79348,73596,67933,75908,63346,65144,81279,63903
144,32345,45396,31867,31558,42802,33097,32006,37347,28756,30699,40167,24673,26359,37569,25565,27547,37859,25747,61533,70002,59366,60979,68287,58899,60579,69745,55809,65287,67270,56944,54594,69906,52879,55886,61539,48044,81123,85291,72136,81932,85640,77256,79459,84207,74962,80610,85079,76487,74310,68239,55839,70459,72329,58403
150,38240,53214,37156,37335,50483,38364,37539,43917,33979,36406,47223,29305,31312,44482,30255,32876,45260,30654,70313,79397,67926,69900,76819,67158,69614,79323,65397,73186,77048,66299,63669,79068,61870,64720,71118,56146,88531,93481,81234,89962,93330,85440,86862,93661,87048,88911,94134,89049,83350,79946,68010,80109,82399,69515
156,42016,59631,41636,41441,56377,42748,42253,49396,37797,40664,53289,32358,34760,50298,33935,36841,50692,34299,76518,84253,73313,75861,82977,72846,75667,85437,70729,79918,83462,72836,69995,85133,67337,71628,78107,62206,93052,97109,86514,93760,96835,89755,93042,97148,91169,94008,98408,93645,87874,92061,81246,86065,93656,80763
162,48614,68502,48048,47832,65122,48781,48674,57345,43498,47114,60902,36891,40182,57980,38904,41829,58519,38765,83057,91435,79873,83455,90098,80132,83090,92157,78164,86825,91327,80582,78163,91810,75010,79724,86443,69006,97150,99496,91204,98215,100855,94886,98790,101383,96103,98866,102317,98208,92883,100231,90784,92660,104100,90681
168,60651,81111,59653,58649,78995,59863,59764,69671,54209,57357,73268,46223,50069,70461,48726,52183,70312,48549,95212,103167,93443,96716,101561,93297,95550,104260,91121,99382,103338,94774,89147,104451,87308,92737,100520,82489,107266,109841,102769,107520,110348,105025,94213,100364,102454,99759,111407,107994,102668,109308,101225,103564,112017,101294
174,63873,83764,61589,61558,82214,61819,63302,73195,57260,60972,76442,48129,53664,73986,50910,56068,74105,50681,95552,102006,92881,97178,100698,93351,96359,103098,91325,99827,101417,95992,90533,104397,89084,95693,101163,84965,105725,106748,100448,106049,107587,103239,92014,96553,99141,97841,109164,106021,101301,108066,100689,103463,110536,101646
180,67866,85533,65550,65413,84999,64419,66762,76354,60651,64498,79090,50862,56862,75664,54349,59927,75701,53357,91650,97072,89581,94258,96567,90548,92489,97394,87016,95252,96372,91873,87134,97563,84772,90939,95847,81832,99611,98327,94612,97766,99818,96385,84267,86409,89874,89106,100482,97434,92228,98343,90810,94304,100931,91929
186,75545,91555,72665,73128,92327,71421,73767,83432,67314,71027,86149,56402,65032,83286,61751,67933,83124,59305,98195,100999,94782,98610,100465,95261,98378,101359,94760,99173,100454,97241,94956,101838,91410,97711,99828,88833,106123,101221,100990,100342,102619,100195,89300,90337,93911,91221,103558,100504,99560,101959,95110,98246,104855,96643
192,82029,95205,77975,79215,96688,76544,80515,88875,73543,77581,91479,62071,72096,88219,67586,74811,88054,65296,101597,101954,97366,99144,101634,98221,102068,102568,97203,100129,101068,99600,95898,102759,93367,98929,100975,91182,106751,102018,102686,101287,102438,99694,105288,99982,98232,101178,104084,99492,100000,97696,89975,98794,101587,94130
198,88060,98086,83643,85872,100100,81753,86148,93896,80170,83713,95878,68496,79473,92933,74678,81065,92040,70883,103099,104155,99645,101261,103913,100812,104343,104754,100864,102330,102108,101367,99436,104934,96981,102466,104250,95751,110317,104989,106052,103704,104081,101680,108257,102186,100715,104197,106616,103015,103420,102325,98175,101231,105944,99814
